id,type,name,area,width,height,center_x,center_y,center_z,connected_room_count,connected_rooms
A057,aperture,Window_012,6.552,3.456,1.896,-8.816,-1.279,-75.407,1,Livingroom_001
A058,aperture,Window_013,5.934,3.13,1.896,-13.807,-1.279,-75.338,1,Dining_002
A059,aperture,Window_014,4.073,2.148,1.896,-17.48,-1.279,-75.287,2,Dining_002 | Staircase_001
A060,aperture,Window_015,0.271,1.944,0.102,-19.59,-1.277,-76.599,1,Staircase_001
A061,aperture,Window_016,0.271,1.944,0.102,-18.474,-1.277,-77.635,2,Dining_002 | Staircase_001
A062,aperture,Window_017,0.271,1.944,0.102,-17.357,-1.277,-78.67,1,Staircase_001
A063,aperture,Window_018,0.271,1.944,0.102,-16.24,-1.277,-79.706,1,Corridor_001
A064,aperture,Window_019,0.271,1.944,0.102,-15.123,-1.277,-80.742,2,Corridor_001 | Bathroom_002
A065,aperture,Window_020,1.805,1.944,0.928,-13.503,-1.277,-81.809,2,Corridor_001 | Kitchen_001
A066,aperture,Window_021,2.622,1.944,1.349,-13.503,-1.277,-83.098,2,Corridor_001 | Store_Room_001
